Codi,Nom,Data,Precipitacio_mm
C6,Castellnou de Seana,2026-05-09,0.5
C7,Tàrrega,2026-05-09,2.4
C8,Cervera,2026-05-09,3.1
C9,Mas de Barberans,2026-05-09,15.9
CC,Orís,2026-05-09,11.8
CD,la Seu d'Urgell - Bellestar,2026-05-09,1.7
CE,els Hostalets de Pierola,2026-05-09,9.9
CG,Molló - Fabert,2026-05-09,14.4
CI,Sant Pau de Segúries,2026-05-09,16.2
CJ,Organyà,2026-05-09,0.9
CL,Sant Salvador de Guardiola,2026-05-09,11.3
CP,Sant Romà d'Abella,2026-05-09,2.4
CQ,Vilanova de Meià,2026-05-09,1.9
CR,la Quar,2026-05-09,10.9
CT,el Pont de Suert,2026-05-09,2.8
CW,l'Espluga de Francolí,2026-05-09,3.3
CY,Muntanyola,2026-05-09,13.1
D1,Margalef,2026-05-09,2.3
D2,Vacarisses,2026-05-09,9.7
D3,Vallirana,2026-05-09,11.1
D4,Roses,2026-05-09,13.6
D5,Barcelona - Observatori Fabra,2026-05-09,16.3
D6,Portbou - coll dels Belitres,2026-05-09,6.6
D7,Vinebre,2026-05-09,2.1
D8,Horta de Sant Joan,2026-05-09,2.0
D9,el Vendrell,2026-05-09,10.5
DB,el Perelló,2026-05-09,14.4
DF,la Bisbal d'Empordà,2026-05-09,17.3
DG,Núria (1.971 m),2026-05-09,12.7
DI,Font-rubí,2026-05-09,11.9
DJ,Banyoles,2026-05-09,13.2
DK,Torredembarra,2026-05-09,14.4
DL,Illa de Buda,2026-05-09,23.5
DN,Anglès,2026-05-09,11.1
DO,Castell d'Aro,2026-05-09,18.8
DP,Das - Aeròdrom,2026-05-09,4.8
DQ,Vila-rodona,2026-05-09,10.3
H1,Òdena,2026-05-09,10.1
J5,Pantà de Darnius - Boadella,2026-05-09,8.3
KE,Pantà de Sau,2026-05-09,18.2
KP,Fogars de la Selva,2026-05-09,15.3
KX,la Roca del Vallès - ETAP Cardedeu,2026-05-09,14.2
M6,Sant Joan de les Abadesses,2026-05-09,14.5
MQ,Cardona,2026-05-09,10.8
MR,Pantà de Siurana,2026-05-09,5.7
MS,Castellar de n'Hug - el Clot del Moro,2026-05-09,9.5
MV,Guixers - Valls,2026-05-09,6.1
MW,Navès,2026-05-09,8.0
U2,Sant Pere Pescador,2026-05-09,14.2
U3,Sant Martí Sarroca,2026-05-09,12.0
U4,Castellnou de Bages,2026-05-09,9.8
U6,Vinyols i els Arcs - Cambrils,2026-05-09,8.4
U7,Aldover,2026-05-09,10.6
U9,l'Aldea,2026-05-09,15.6
UA,l'Ametlla de Mar,2026-05-09,12.1
UB,la Tallada d'Empordà,2026-05-09,16.4
UE,Torroella de Montgrí,2026-05-09,16.8
UF,PN del Garraf - el Rascler,2026-05-09,12.4
UH,el Montmell,2026-05-09,14.6
UI,Gisclareny,2026-05-09,5.6
UJ,Santa Coloma de Queralt,2026-05-09,6.4
UK,Sant Pere de Ribes - PN del Garraf,2026-05-09,11.8
UM,la Granadella,2026-05-09,1.2
UN,Cassà de la Selva,2026-05-09,15.9
UO,Fornells de la Selva,2026-05-09,14.8
UP,Cabrils,2026-05-09,12.8
UQ,Dosrius - PN Montnegre Corredor,2026-05-09,14.6
